,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,0.999999999999999,0.9999999999999986,0.9999999999999982,0.9999999999999979,0.9999999999999976,0.9999999999999974,0.9999999999999972,0.9999999999999972,0.9999999999999972,0.9999999999999972,0.9999999999999973,0.9999999999999974,0.9999999999999977,0.999999999999998,0.9999999999999983,0.9999999999999988,0.9999999999999992,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.999999999999999,0.9999999999999981,0.9999999999999973,0.9999999999999966,0.9999999999999959,0.9999999999999952,0.9999999999999947,0.9999999999999942,0.9999999999999938,0.9999999999999934,0.9999999999999931,0.9999999999999928,0.9999999999999927,0.9999999999999925,0.9999999999999925,0.9999999999999923,0.9999999999999925,0.9999999999999926,0.9999999999999927,0.9999999999999929,0.9999999999999932,0.9999999999999936,0.999999999999994,0.9999999999999944,0.9999999999999949,0.9999999999999956,0.9999999999999962,0.9999999999999969,0.9999999999999977,0.9999999999999984,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999989,0.9999999999999978,0.9999999999999967,0.9999999999999957,0.9999999999999947,0.9999999999999937,0.9999999999999929,0.999999999999992,0.9999999999999913,0.9999999999999906,0.99999999999999,0.9999999999999895,0.9999999999999889,0.9999999999999885,0.9999999999999881,0.9999999999999878,0.9999999999999876,0.9999999999999871,0.9999999999999869,0.9999999999999867,0.9999999999999867,0.9999999999999867,0.9999999999999869,0.9999999999999873,0.9999999999999877,0.9999999999999879,0.9999999999999882,0.9999999999999887,0.9999999999999891,0.9999999999999897,0.9999999999999902,0.9999999999999909,0.9999999999999916,0.9999999999999923,0.9999999999999932,0.9999999999999941,0.999999999999995,0.999999999999996,0.9999999999999971,0.9999999999999982,0.9999999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999988,0.9999999999999973,0.999999999999996,0.9999999999999948,0.9999999999999934,0.9999999999999923,0.9999999999999912,0.9999999999999902,0.9999999999999892,0.9999999999999882,0.9999999999999873,0.9999999999999856,0.9999999999999841,0.9999999999999827,0.9999999999999815,0.9999999999999803,0.9999999999999792,0.9999999999999784,0.9999999999999776,0.9999999999999769,0.9999999999999765,0.999999999999976,0.9999999999999756,0.9999999999999755,0.9999999999999754,0.9999999999999755,0.9999999999999758,0.999999999999976,0.9999999999999766,0.9999999999999771,0.9999999999999778,0.9999999999999787,0.9999999999999797,0.9999999999999808,0.9999999999999819,0.9999999999999832,0.9999999999999847,0.9999999999999862,0.9999999999999878,0.9999999999999887,0.9999999999999896,0.9999999999999906,0.9999999999999917,0.9999999999999928,0.999999999999994,0.9999999999999952,0.9999999999999966,0.9999999999999979,0.9999999999999993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,0.9999999999999979,0.9999999999999963,0.9999999999999948,0.9999999999999933,0.9999999999999919,0.9999999999999906,0.9999999999999892,0.999999999999988,0.9999999999999862,0.9999999999999839,0.9999999999999819,0.9999999999999798,0.9999999999999779,0.999999999999976,0.9999999999999738,0.9999999999999716,0.9999999999999692,0.9999999999999674,0.9999999999999657,0.999999999999964,0.9999999999999624,0.9999999999999608,0.9999999999999595,0.9999999999999583,0.9999999999999575,0.9999999999999568,0.9999999999999566,0.9999999999999565,0.9999999999999566,0.999999999999957,0.9999999999999577,0.9999999999999587,0.9999999999999599,0.9999999999999614,0.9999999999999631,0.9999999999999647,0.9999999999999664,0.9999999999999682,0.9999999999999702,0.9999999999999725,0.9999999999999748,0.9999999999999769,0.9999999999999787,0.9999999999999806,0.9999999999999827,0.9999999999999849,0.9999999999999871,0.9999999999999886,0.9999999999999898,0.9999999999999911,0.9999999999999925,0.9999999999999939,0.9999999999999954,0.999999999999997,0.9999999999999986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999994,0.9999999999999976,0.9999999999999958,0.9999999999999941,0.9999999999999925,0.9999999999999909,0.9999999999999893,0.9999999999999879,0.9999999999999853,0.9999999999999826,0.99999999999998,0.9999999999999776,0.9999999999999748,0.9999999999999712,0.999999999999968,0.999999999999965,0.9999999999999615,0.9999999999999579,0.9999999999999545,0.9999999999999514,0.9999999999999476,0.9999999999999443,0.9999999999999414,0.9999999999999384,0.9999999999999356,0.9999999999999333,0.999999999999931,0.9999999999999295,0.9999999999999282,0.9999999999999272,0.9999999999999266,0.9999999999999265,0.9999999999999268,0.9999999999999276,0.9999999999999286,0.9999999999999301,0.9999999999999319,0.999999999999934,0.9999999999999367,0.9999999999999397,0.9999999999999426,0.9999999999999457,0.9999999999999492,0.9999999999999527,0.9999999999999559,0.9999999999999595,0.9999999999999631,0.9999999999999662,0.9999999999999695,0.9999999999999728,0.999999999999976,0.9999999999999785,0.999999999999981,0.9999999999999837,0.9999999999999866,0.9999999999999885,0.99999999999999,0.9999999999999916,0.9999999999999931,0.9999999999999948,0.9999999999999966,0.9999999999999983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999979,0.9999999999999959,0.999999999999994,0.9999999999999922,0.9999999999999905,0.9999999999999888,0.9999999999999867,0.9999999999999835,0.9999999999999802,0.9999999999999774,0.9999999999999737,0.9999999999999696,0.9999999999999655,0.9999999999999609,0.999999999999956,0.9999999999999514,0.9999999999999457,0.9999999999999406,0.9999999999999347,0.9999999999999292,0.9999999999999233,0.9999999999999178,0.9999999999999122,0.9999999999999069,0.9999999999999015,0.9999999999998967,0.9999999999998924,0.9999999999998885,0.999999999999885,0.9999999999998822,0.99999999999988,0.9999999999998783,0.9999999999998775,0.9999999999998771,0.999999999999878,0.9999999999998792,0.9999999999998807,0.9999999999998833,0.9999999999998864,0.9999999999998902,0.9999999999998943,0.9999999999998987,0.9999999999999037,0.9999999999999089,0.9999999999999147,0.9999999999999201,0.9999999999999257,0.9999999999999314,0.9999999999999372,0.9999999999999426,0.999999999999948,0.9999999999999533,0.999999999999958,0.999999999999963,0.9999999999999671,0.9999999999999712,0.9999999999999755,0.9999999999999785,0.9999999999999816,0.9999999999999847,0.9999999999999878,0.9999999999999895,0.9999999999999911,0.999999999999993,0.9999999999999948,0.9999999999999967,0.9999999999999987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999987,0.9999999999999966,0.9999999999999946,0.9999999999999926,0.9999999999999907,0.9999999999999888,0.9999999999999862,0.9999999999999826,0.9999999999999791,0.9999999999999758,0.9999999999999709,0.999999999999966,0.9999999999999607,0.9999999999999547,0.9999999999999485,0.9999999999999417,0.9999999999999342,0.9999999999999264,0.9999999999999182,0.9999999999999095,0.9999999999999006,0.9999999999998915,0.9999999999998824,0.9999999999998729,0.9999999999998638,0.9999999999998544,0.9999999999998458,0.9999999999998374,0.9999999999998296,0.9999999999998223,0.9999999999998161,0.9999999999998103,0.9999999999998056,0.9999999999998019,0.9999999999997989,0.9999999999997978,0.9999999999997973,0.9999999999997985,0.9999999999998004,0.9999999999998034,0.9999999999998075,0.9999999999998126,0.9999999999998183,0.9999999999998253,0.9999999999998326,0.9999999999998408,0.9999999999998493,0.9999999999998584,0.9999999999998674,0.9999999999998768,0.999999999999886,0.9999999999998953,0.9999999999999044,0.9999999999999132,0.9999999999999215,0.9999999999999296,0.9999999999999373,0.9999999999999443,0.9999999999999514,0.9999999999999571,0.9999999999999631,0.999999999999968,0.9999999999999729,0.9999999999999771,0.9999999999999805,0.9999999999999841,0.9999999999999877,0.9999999999999895,0.9999999999999913,0.9999999999999933,0.9999999999999953,0.9999999999999974,0.9999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
